Tên công việc,Địa điểm,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp,Tên công ty,Địa chỉ công ty,Người liên hệ,Loại hình hoạt động,Qui mô công ty
GIÁM ĐỐC SẢN XUẤT (NGÀNH GỖ),['Bình Định'],09/12/2024,"Sản xuất / Vận hành sản xuất , Quản lý điều hành",Nhân viên chính thức,Trên 25 Tr VND,Trên 5 Năm,Quản lý,31/12/2024,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI VINAFOREST,"Lô 1 Cụm công nghiệp Bình Nghi, thôn 3, Xã Bình Nghi, Huyện Tây Sơn, Tỉnh Bình Định, Việt Nam",HR,Trách nhiệm hữu hạn,100-499
[A9] Tuyển Nhân Viên Telesale Thẻ Tín Dụng Tại Hà Nội Không Yêu Cầu Kinh Nghiệm - Làm Giờ Hành Chính Không Tăng Ca,['Hà Nội'],09/12/2024,"Công nghệ sinh học , Thống kê , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,30/11/2024,BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,100% vốn nước ngoài,1.000-4.999
Kỹ thuật viên vận hành máy,['Bà Rịa - Vũng Tàu'],09/12/2024,Cơ khí / Ô tô / Tự động hóa,Nhân viên chính thức,Cạnh tranh,,Nhân viên,31/12/2024,CÔNG TY TNHH BAO BÌ NƯỚC GIẢI KHÁT CROWN VŨNG TÀU,Mỹ Xuân B1,Ms. Hà,100% vốn nước ngoài,100-499
Nhân viên chăm sóc khách hàng,['Bắc Giang'],09/12/2024,Dịch vụ khách hàng,Nhân viên chính thức,9 Tr - 10 Tr VND,1 - 3 Năm,Nhân viên,25/12/2024,CÔNG TY TNHH THƯƠNG MẠI TRẦN HỒNG QUÂN,"Số 36 đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam",HR THQ,Trách nhiệm hữu hạn,1.000-4.999
,[],,,,,,,,,,,,
Planning Staff,['Đồng Nai'],09/12/2024,"Xuất nhập khẩu , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,Cạnh tranh,3 - 4 Năm,Nhân viên,25/12/2024,CÔNG TY TNHH OLAM VIỆT NAM,"Tầng 11, 561 A Điện Biên Phủ, P25, Quận Bình Thạnh",TA Viet Nam,100% vốn nước ngoài,5.000-9.999
NHÂN VIÊN KINH DOANH HẠT NHỰA,['Hà Nội'],09/12/2024,"Bán hàng / Kinh doanh , Dầu khí , Hóa học",Nhân viên chính thức,10 Tr - 20 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024,CÔNG TY CỔ PHẦN Á ĐÔNG ADG,"36/72 Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh, TP Hồ Chí Minh",Công ty CP Á Đông ADG,Cổ phần,25-99
Kế toán tổng hợp,['Hà Nội'],02/12/2024,"Kế toán / Kiểm toán , Sản xuất / Vận hành sản xuất , Xây dựng",Nhân viên chính thức,17 Tr - 22 Tr VND,3 - 5 Năm,Nhân viên,31/12/2024,CÔNG TY TNHH TẬP ĐOÀN XÂY DỰNG DELTA,"Số 81, Phố Lạc Trung, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Thành Phố Hà Nội, Việt Nam.",Delta Group,Trách nhiệm hữu hạn,1.000-4.999
Nhân viên trưng bày sản phẩm (Khu vực Hà Nội),['Hà Nội'],09/12/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Tư vấn",Nhân viên chính thức,10 Tr - 12 Tr VND,,Nhân viên,25/12/2024,CÔNG TY TNHH PERFECT COMPANION VIỆT NAM,"Tầng 3, số 92 Yên Thế, phường 02, Tân Bình, Tp.HCM",Ms. Lan,Trách nhiệm hữu hạn,100-499
Marketing Executive,['Đà Nẵng'],09/12/2024,"Tiếp thị / Marketing , Quảng cáo / Đối ngoại / Truyền Thông , Ngành khác",Nhân viên chính thức,7 Tr - 10 Tr VND,1 - 2 Năm,Nhân viên,25/12/2024,CÔNG TY TNHH VIETART F&B,"28 Hoa Phượng 3, Phường An Hải Tây, Quận Sơn Trà, Thành phố Đà Nẵng, Việt Nam",HR,Trách nhiệm hữu hạn,25-99
Thực Tập Sinh Kế Toán,['Hà Nội'],02/12/2024,"Kế toán / Kiểm toán , Ngân hàng , Mới tốt nghiệp / Thực tập","Bán thời gian, Thực tập","2 Tr - 4,5 Tr VND",,Sinh viên/ Thực tập sinh,08/12/2024,CÔNG TY TNHH SEMPIRE VIỆT NAM,21 Tô Vĩnh Diện - Thanh Xuân,Ms.Nguyệt,Trách nhiệm hữu hạn,25-99
SALE ADMIN MIỀN BẮC,['Hà Nội'],09/12/2024,"Bán hàng / Kinh doanh , Quản lý điều hành , Hóa học",Nhân viên chính thức,11 Tr - 12 Tr VND,1 - 2 Năm,Nhân viên,25/12/2024,CÔNG TY CỔ PHẦN Á ĐÔNG ADG,"36/72 Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh, TP Hồ Chí Minh",Công ty CP Á Đông ADG,Cổ phần,25-99
Trưởng nhóm báo cáo tài chính,['Hà Nội'],02/12/2024,Kế toán / Kiểm toán,Nhân viên chính thức,16 Tr - 18 Tr VND,Trên 3 Năm,Trưởng nhóm / Giám sát,25/12/2024,CÔNG TY TNHH THƯƠNG MẠI TRẦN HỒNG QUÂN,"Số 36 đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam",HR THQ,Trách nhiệm hữu hạn,1.000-4.999
Nhân viên điều dưỡng,['Khác'],09/12/2024,Y tế / Chăm sóc sức khỏe,Nhân viên chính thức,79 Tr - 106 Tr VND,Lên đến 1 Năm,Nhân viên,25/12/2024,SHD CAREER SOLUTIONS CONSULTING CO. LTD.,"679 Dien Bien Phu St., Wd. 25, Binh Thanh Dist., HCMC",SHD Career,Trách nhiệm hữu hạn,25-99
Giáo Viên Tiểu Học (Long Khánh - Đồng Nai) - Đi làm sau Tết,['Đồng Nai'],09/12/2024,Giáo dục / Đào tạo,Nhân viên chính thức,8 Tr - 12 Tr VND,,Nhân viên,24/12/2024,CÔNG TY CP LIÊN KẾT QUỐC TẾ INTERLINK (TRƯỜNG LIÊN KẾT QUỐC TẾ INSCHOOL & NGOẠI NGỮ QUỐC TẾ INS ENGLISH & CHINESE),"27, đường CMT8, Phường Xuân An, Thị Xã Long Khánh",Nhân sự,Cổ phần,500-999
Chuyên viên kiểm toán nội bộ,['Hà Nội'],09/12/2024,Kế toán / Kiểm toán,Nhân viên chính thức,16 Tr - 18 Tr VND,Trên 3 Năm,Nhân viên,25/12/2024,CÔNG TY TNHH THƯƠNG MẠI TRẦN HỒNG QUÂN,"Số 36 đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam",HR THQ,Trách nhiệm hữu hạn,1.000-4.999
Giáo Viên Tiểu Học (Buôn Ma Thuột - Đắk Lắk) - Đi làm sau Tết,['Dak Lak'],09/12/2024,Giáo dục / Đào tạo,Nhân viên chính thức,8 Tr - 12 Tr VND,1 - 2 Năm,Nhân viên,24/12/2024,CÔNG TY CP LIÊN KẾT QUỐC TẾ INTERLINK (TRƯỜNG LIÊN KẾT QUỐC TẾ INSCHOOL & NGOẠI NGỮ QUỐC TẾ INS ENGLISH & CHINESE),"27, đường CMT8, Phường Xuân An, Thị Xã Long Khánh",Nhân sự,Cổ phần,500-999
Hiệu Phó Trung Học (Long Khánh - Đồng Nai),['Đồng Nai'],09/12/2024,"Giáo dục / Đào tạo , Quản lý điều hành",Nhân viên chính thức,15 Tr - 30 Tr VND,4 - 5 Năm,Quản lý,24/12/2024,CÔNG TY CP LIÊN KẾT QUỐC TẾ INTERLINK (TRƯỜNG LIÊN KẾT QUỐC TẾ INSCHOOL & NGOẠI NGỮ QUỐC TẾ INS ENGLISH & CHINESE),"27, đường CMT8, Phường Xuân An, Thị Xã Long Khánh",Nhân sự,Cổ phần,500-999
[D4] CA ĐÊM - TUYỂN DỤNG NHÂN VIÊN CHĂM SÓC KHÁCH HÀNG ĐỐI TÁC MẠNG VIỄN THÔNG MỸ HTH COMMUNICATIONS,['Hà Nội'],09/12/2024,"Bưu chính viễn thông , Biên phiên dịch , Dịch vụ khách hàng",Nhân viên chính thức,14 Tr - 16 Tr VND,,Nhân viên,04/12/2024,BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,100% vốn nước ngoài,1.000-4.999
Trưởng Phòng Phát Triển Kinh Doanh,['Hà Nội'],09/12/2024,"Đồ gỗ , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,25 Tr - 35 Tr VND,Trên 3 Năm,Quản lý,31/12/2024,CÔNG TY CỔ PHẦN TẬP ĐOÀN GỖ MINH LONG,"Tầng 20, Toà nhà 319 BQP, 63 Lê Văn Lương, Q. Cầu Giấy, Hà Nội",Phòng nhân sự,Cổ phần,100-499
Brand Executive,['Hà Nội'],09/12/2024,Tiếp thị / Marketing,Nhân viên chính thức,15 Tr - 20 Tr VND,1 - 2 Năm,Trưởng nhóm / Giám sát,07/12/2024,CÔNG TY CỔ PHẦN GENA THÁI BÌNH DƯƠNG,"số 3 Nguyễn Khắc Nhu, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam",Bộ phận Nhân sự,Cổ phần,25-99
[Thái Bình] - Nhân Viên Kinh Doanh - Ngành Dầu Nhớt,['Thái Bình'],09/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Dầu khí",Nhân viên chính thức,Trên 25 Tr VND,Trên 3 Năm,Nhân viên,15/12/2024,CÔNG TY TNHH DẦU NHỜN GS VIỆT NAM,"Lô 1-3/68, đường Lưu Hữu Phước, P. Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",HR - Ms Hường,Trách nhiệm hữu hạn,
Nhân viên đào tạo (tiếng Trung),['Hà Nam'],02/12/2024,Giáo dục / Đào tạo,Nhân viên chính thức,12 Tr - 18 Tr VND,1 - 2 Năm,Nhân viên,25/12/2024,CÔNG TY TNHH QISDA VIỆT NAM,"Lô CN-12, Khu công nghiệp Đồng Văn IV, Xã Nhật Tân, Xã Đại Cương, Huyện Kim Bảng, Tỉnh Hà Nam, Việt Nam",Phòng Nhân sự,100% vốn nước ngoài,8000
,[],,,,,,,,,,,,
Senior Automation - Chuyên Viên Tự Động Hóa Cấp Cao (May Mặc),"['Hưng Yên', 'Hà Nội', 'Hải Dương']",09/12/2024,"Dệt may / Da giày / Thời trang , Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,"Lên đến 1,200 USD",3 - 4 Năm,Trưởng nhóm / Giám sát,15/12/2024,CÔNG TY TNHH LINEA AQUA VIỆT NAM,"Lô số L1, Khu công nghiệp dệt may Phố Nối B, Phường Dị Sử, Thị xã Mỹ Hào, Tỉnh Hưng Yên, Việt Nam, Thị xã Mỹ Hào, Hưng Yên, Việt Nam",Ms. Lien,100% vốn nước ngoài,1.000-4.999
TRƯỞNG PHÒNG HÀNH CHÍNH NHÂN SỰ,['Khánh Hòa'],02/12/2024,"Dược phẩm , Nhân sự , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,"800 - 1,400 USD",3 - 5 Năm,Quản lý,31/12/2024,VIETMEC - CÔNG TY CỔ PHẦN DƯỢC LIỆU VIỆT NAM,"Số 139 Đường Hồng Tiến, P. Bồ Đề, Q. Long Biên, TP. Hà Nội",Phòng HCNS,Cổ phần,
Chuyên Viên Tuân Thủ Cấp Cao (May Mặc) - Senior Compliance (CSR),['Hưng Yên'],09/12/2024,"Sản xuất / Vận hành sản xuất , Dệt may / Da giày / Thời trang",Nhân viên chính thức,"Lên đến 1,000 USD",3 - 4 Năm,Trưởng nhóm / Giám sát,15/12/2024,CÔNG TY TNHH LINEA AQUA VIỆT NAM,"Lô số L1, Khu công nghiệp dệt may Phố Nối B, Phường Dị Sử, Thị xã Mỹ Hào, Tỉnh Hưng Yên, Việt Nam, Thị xã Mỹ Hào, Hưng Yên, Việt Nam",Ms. Lien,100% vốn nước ngoài,1.000-4.999
Kỹ thuật viên SMT,['Hà Nam'],09/12/2024,Sản xuất / Vận hành sản xuất,Nhân viên chính thức,10 Tr - 18 Tr VND,2 - 5 Năm,Nhân viên,13/12/2024,CÔNG TY TNHH QISDA VIỆT NAM,"Lô CN-12, Khu công nghiệp Đồng Văn IV, Xã Nhật Tân, Xã Đại Cương, Huyện Kim Bảng, Tỉnh Hà Nam, Việt Nam",Phòng Nhân sự,100% vốn nước ngoài,8000
Lab/inspection Senior Executive -Chuyên Viên Cao Cấp,"['Hưng Yên', 'Hà Nội', 'Hải Dương']",09/12/2024,"Quản lý điều hành , Sản xuất / Vận hành sản xuất , Dệt may / Da giày / Thời trang",Nhân viên chính thức,"700 - 1,000 USD",3 - 4 Năm,Trưởng nhóm / Giám sát,15/12/2024,CÔNG TY TNHH LINEA AQUA VIỆT NAM,"Lô số L1, Khu công nghiệp dệt may Phố Nối B, Phường Dị Sử, Thị xã Mỹ Hào, Tỉnh Hưng Yên, Việt Nam, Thị xã Mỹ Hào, Hưng Yên, Việt Nam",Ms. Lien,100% vốn nước ngoài,1.000-4.999
IE Senior Executive - Kỹ Sư Công Nghiệp Cấp Cao (May Mặc),"['Hà Nội', 'Hải Dương', 'Hưng Yên']",09/12/2024,"Sản xuất / Vận hành sản xuất , Dệt may / Da giày / Thời trang , Ngành khác",Nhân viên chính thức,"800 - 1,200 USD",3 - 4 Năm,Nhân viên,15/12/2024,CÔNG TY TNHH LINEA AQUA VIỆT NAM,"Lô số L1, Khu công nghiệp dệt may Phố Nối B, Phường Dị Sử, Thị xã Mỹ Hào, Tỉnh Hưng Yên, Việt Nam, Thị xã Mỹ Hào, Hưng Yên, Việt Nam",Ms. Lien,100% vốn nước ngoài,1.000-4.999
NHÂN VIÊN TRUYỀN THÔNG (Quay Dựng Video Editor),['Bình Dương'],09/12/2024,"Tiếp thị / Marketing , Truyền hình / Báo chí / Biên tập , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,10 Tr - 14 Tr VND,,Nhân viên,31/12/2024,CÔNG TY TNHH CUNG ỨNG NHÂN LỰC NHÂN KIỆT,"Phòng 202, Tòa nhà 57, 57 Lê Thị Hồng Gấm, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh",Mr Quang,Trách nhiệm hữu hạn,20.000-49.999
Phiên dịch tiếng Trung,['Long An'],09/12/2024,"Biên phiên dịch , Sản xuất / Vận hành sản xuất , Hành chính / Thư ký",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên,24/12/2024,CÔNG TY TNHH EMI ASIA VIỆT NAM,"Lô D10-1, Đường Dọc 2, KCN Phú An Thạnh, Xã An Thạnh, Huyện Bến Lức, Tỉnh Long An, Việt Nam",HCNS,100% vốn nước ngoài,100-499
Digital Marketing (Facebook / Tiktok Ads) Lương Cứng 9-18 Triệu Thu Nhập Upto 30 Triệu,['Hà Nội'],08/12/2024,"Tiếp thị / Marketing , Truyền hình / Báo chí / Biên tập , Quảng cáo / Đối ngoại / Truyền Thông","Nhân viên chính thức, Bán thời gian",15 Tr - 30 Tr VND,1 - 5 Năm,Nhân viên,07/12/2024,CÔNG TY TNHH BIBABO,"Tòa nhà Comatce, 61 Nguỵ Như Kon Tum, Thanh Xuân, Hà Nội",HR Dept,Trách nhiệm hữu hạn,25-99
Giám đốc nhà máy - Hậu Giang,['Hậu Giang'],08/12/2024,"Cơ khí / Ô tô / Tự động hóa , Bảo trì / Sửa chữa , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,20 Tr - 35 Tr VND,3 - 5 Năm,Quản lý,30/12/2024,CÔNG TY CỔ PHẦN THÉP VIỆT XÔ HÀ NỘI,"Tầng 2 tòa nhà Tứ Hiệp Plaza, Thanh Trì, Hà Nội",Bộ phận Tuyển dụng,Cổ phần,100-499
Giám đốc nhà máy-Thái Nguyên,['Thái Nguyên'],08/12/2024,"Cơ khí / Ô tô / Tự động hóa , Bảo trì / Sửa chữa , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,20 Tr - 35 Tr VND,3 - 5 Năm,Quản lý,30/12/2024,CÔNG TY CỔ PHẦN THÉP VIỆT XÔ HÀ NỘI,"Tầng 2 tòa nhà Tứ Hiệp Plaza, Thanh Trì, Hà Nội",Bộ phận Tuyển dụng,Cổ phần,100-499
Nhân viên kỹ thuật điện cơ khí-Đồng Nai,['Đồng Nai'],08/12/2024,Sản xuất / Vận hành sản xuất,Nhân viên chính thức,"8,5 Tr - 10 Tr VND",Trên 1 Năm,Nhân viên,30/12/2024,CÔNG TY CỔ PHẦN THÉP VIỆT XÔ HÀ NỘI,"Tầng 2 tòa nhà Tứ Hiệp Plaza, Thanh Trì, Hà Nội",Bộ phận Tuyển dụng,Cổ phần,100-499
Operations Manager (Long Khánh - Đồng Nai) - Đi làm sau Tết,['Đồng Nai'],08/12/2024,Giáo dục / Đào tạo,Nhân viên chính thức,15 Tr - 20 Tr VND,2 - 3 Năm,Quản lý,23/12/2024,CÔNG TY CP LIÊN KẾT QUỐC TẾ INTERLINK (TRƯỜNG LIÊN KẾT QUỐC TẾ INSCHOOL & NGOẠI NGỮ QUỐC TẾ INS ENGLISH & CHINESE),"27, đường CMT8, Phường Xuân An, Thị Xã Long Khánh",Nhân sự,Cổ phần,500-999
Nhân viên kế hoạch sản xuất,['Hà Nội'],08/12/2024,"Thống kê , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,8 Tr - 12 Tr VND,Trên 1 Năm,Nhân viên,31/12/2024,CÔNG TY CỔ PHẦN THÉP VIỆT XÔ HÀ NỘI,"Tầng 2 tòa nhà Tứ Hiệp Plaza, Thanh Trì, Hà Nội",Bộ phận Tuyển dụng,Cổ phần,100-499
NHÂN VIÊN QC,['Long An'],08/12/2024,Quản lý chất lượng (QA/QC),Nhân viên chính thức,16 Tr - 20 Tr VND,1 - 15 Năm,Nhân viên,23/12/2024,CÔNG TY CỔ PHẦN CƠ KHÍ XÂY DỰNG THƯƠNG MẠI ĐẠI DŨNG,"Lô 38, Khu C, Đường D1, KCN An Hạ, Phạm Văn Hai, Bình Chánh",Tuyển Dụng,Cổ phần,1.000-4.999
NHÂN VIÊN VẬN HÀNH MÁY RÔ - BỐT HÀN,['Long An'],08/12/2024,Sản xuất / Vận hành sản xuất,Nhân viên chính thức,14 Tr - 18 Tr VND,Trên 1 Năm,Nhân viên,23/12/2024,CÔNG TY CỔ PHẦN CƠ KHÍ XÂY DỰNG THƯƠNG MẠI ĐẠI DŨNG,"Lô 38, Khu C, Đường D1, KCN An Hạ, Phạm Văn Hai, Bình Chánh",Tuyển Dụng,Cổ phần,1.000-4.999
Nhân viên bảo trì,['Long An'],08/12/2024,Bảo trì / Sửa chữa,Nhân viên chính thức,12 Tr - 15 Tr VND,1 - 15 Năm,Nhân viên,23/12/2024,CÔNG TY CỔ PHẦN CƠ KHÍ XÂY DỰNG THƯƠNG MẠI ĐẠI DŨNG,"Lô 38, Khu C, Đường D1, KCN An Hạ, Phạm Văn Hai, Bình Chánh",Tuyển Dụng,Cổ phần,1.000-4.999
NHÂN VIÊN BẢO TRÌ XE NÂNG PIV,[],,,,,,,,,,,,
Nhân viên Hành chính Nhân sự - mạnh C&B,['Hà Nội'],08/12/2024,"Hành chính / Thư ký , Luật / Pháp lý , Nhân sự",Nhân viên chính thức,9 Tr - 15 Tr VND,Trên 3 Năm,Nhân viên,31/12/2024,CÔNG TY CỔ PHẦN CƠ ĐIỆN VÀ PCCC THĂNG LONG,"Số 79 đường Hồ Mễ Trì, Nam Từ Liêm, Thành phố Hà Nội, Việt Nam",Phòng Nhân Sự,Cổ phần,100-499
Chuyên Viên Điều Phối Hàng Hóa - Hàng Thời Trang,['Hà Nội'],01/12/2024,"Bán hàng / Kinh doanh , Vận chuyển / Giao nhận / Kho vận , Dệt may / Da giày / Thời trang",Nhân viên chính thức,11 Tr - 15 Tr VND,Trên 3 Năm,Nhân viên,31/12/2024,CÔNG TY CỔ PHẦN INTELLIFE,"Tháp B, tòa Fafim, số 19 Nguyễn Trãi, Thanh Xuân, HN",BP Tuyển dụng,Cá nhân,1.000-4.999
Nhân viên nhập liệu/ Data admin,['Hà Nội'],07/12/2024,"Hành chính / Thư ký , Thống kê , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,Cạnh tranh,,Nhân viên,23/12/2024,DE HEUS LLC,"12B Floor, Sofic Tower No.10 Mai Chi Tho, Thu Thiem, Thu Duc City",HR.DEPT,100% vốn nước ngoài,1.000-4.999
Nhân viên kế hoạch sản xuất/ Planning Officer,['Hà Nội'],07/12/2024,"Công nghệ thực phẩm / Dinh dưỡng , Sản xuất / Vận hành sản xuất , Thu mua / Vật tư",Nhân viên chính thức,Cạnh tranh,,Nhân viên,23/12/2024,DE HEUS LLC,"12B Floor, Sofic Tower No.10 Mai Chi Tho, Thu Thiem, Thu Duc City",HR.DEPT,100% vốn nước ngoài,1.000-4.999
Nhân viên an toàn vệ sinh/ Hygiene Officer,['Hà Nội'],07/12/2024,"Sản xuất / Vận hành sản xuất , An toàn lao động",Nhân viên chính thức,Cạnh tranh,,Nhân viên,22/12/2024,DE HEUS LLC,"12B Floor, Sofic Tower No.10 Mai Chi Tho, Thu Thiem, Thu Duc City",HR.DEPT,100% vốn nước ngoài,1.000-4.999
TRƯỞNG NHÓM C&B,['Hà Nội'],07/12/2024,"Bảo hiểm , Dược phẩm , Nhân sự",Nhân viên chính thức,"650 - 1,000 USD",3 - 5 Năm,Quản lý,31/12/2024,VIETMEC - CÔNG TY CỔ PHẦN DƯỢC LIỆU VIỆT NAM,"Số 139 Đường Hồng Tiến, P. Bồ Đề, Q. Long Biên, TP. Hà Nội",Phòng HCNS,Cổ phần,
Nhân viên Quản lý Kho và Xuất nhập hàng - Nhà Máy Tiền Giang,['Tiền Giang'],30/11/2024,Vận chuyển / Giao nhận / Kho vận,Nhân viên chính thức,10 Tr - 12 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024,,,,,
TRƯỞNG BỘ PHẬN MÁY MÓC THIẾT BỊ,['Vĩnh Phúc'],07/12/2024,Sản xuất / Vận hành sản xuất,Nhân viên chính thức,"1,000 - 1,200 USD",5 - 15 Năm,Quản lý,31/12/2024,CÔNG TY TNHH AOBA VIỆT NAM,"Tầng 10, tòa nhà Việt Á, số 9 phố Duy Tân, phường Dịch Vọng Hậu, quận Cầu Giấy, Hà Nội",Ms Tú,Trách nhiệm hữu hạn,25-99
TRƯỞNG BỘ PHẬN SƠN,['Vĩnh Phúc'],07/12/2024,Sản xuất / Vận hành sản xuất,Nhân viên chính thức,"1,000 - 1,200 USD",5 - 15 Năm,Quản lý,31/12/2024,CÔNG TY TNHH AOBA VIỆT NAM,"Tầng 10, tòa nhà Việt Á, số 9 phố Duy Tân, phường Dịch Vọng Hậu, quận Cầu Giấy, Hà Nội",Ms Tú,Trách nhiệm hữu hạn,25-99
TRƯỞNG BỘ PHẬN HÀN,['Vĩnh Phúc'],07/12/2024,Sản xuất / Vận hành sản xuất,Nhân viên chính thức,"1,000 - 1,200 USD",5 - 15 Năm,Quản lý,31/12/2024,CÔNG TY TNHH AOBA VIỆT NAM,"Tầng 10, tòa nhà Việt Á, số 9 phố Duy Tân, phường Dịch Vọng Hậu, quận Cầu Giấy, Hà Nội",Ms Tú,Trách nhiệm hữu hạn,25-99
TRƯỞNG BỘ PHẬN HÀNH CHÍNH NHÂN SỰ CÔNG TY SẢN XUẤT CỦA NHẬT,['Vĩnh Phúc'],07/12/2024,"Hành chính / Thư ký , Nhân sự",Nhân viên chính thức,"1,000 - 1,200 USD",3 - 10 Năm,Quản lý,31/12/2024,CÔNG TY TNHH AOBA VIỆT NAM,"Tầng 10, tòa nhà Việt Á, số 9 phố Duy Tân, phường Dịch Vọng Hậu, quận Cầu Giấy, Hà Nội",Ms Tú,Trách nhiệm hữu hạn,25-99
Kế Toán Tổng Hợp,['Bình Dương'],07/12/2024,Kế toán / Kiểm toán,Nhân viên chính thức,12 Tr - 18 Tr VND,Trên 4 Năm,Trưởng nhóm / Giám sát,31/12/2024,CÔNG TY TNHH CƠ KHÍ XÂY DỰNG DU LỊCH BÁCH TÙNG,"144/46 KP2, P. Đông Hòa, TX. Dĩ An, Bình Dương",Công ty TNHH Cơ Khí Xây Dựng Du Lịch Bách Tùng,Trách nhiệm hữu hạn,100-499
Trưởng phòng Marketing - Arena Multimedia (Hà Nội),['Hà Nội'],07/12/2024,"Tiếp thị / Marketing , Giáo dục / Đào tạo , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,25 Tr - 30 Tr VND,2 - 5 Năm,Giám đốc,20/12/2024,HỆ THỐNG ĐÀO TẠO LẬP TRÌNH VIÊN QUỐC TẾ APTECH,"Tầng 4, 285 Đội Cấn, Ba Đình, Hà Nội",Ms. Vân,Cổ phần,100-499
Trưởng phòng kinh doanh tại Nam Định,['Nam Định'],07/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Nhà hàng / Khách sạn",Nhân viên chính thức,14 Tr - 20 Tr VND,2 - 5 Năm,Quản lý,31/12/2024,CÔNG TY TNHH TRỐNG ĐỒNG VIỆT NAM,"Trống Đồng Palace, 72 Trần Đăng Ninh, Cầu Giấy,",Nguyen Thi Thuan,Trách nhiệm hữu hạn,100-499
Product Research Team Leader (Fashion),"['Hải Dương', 'Hà Nội']",07/12/2024,Dệt may / Da giày / Thời trang,Nhân viên chính thức,Cạnh tranh,Trên 3 Năm,Trưởng nhóm / Giám sát,31/12/2024,CÔNG TY CỔ PHẦN THỜI TRANG YODY,"Đường An Định, Phường Việt Hòa, TP.Hải Dương",Ms Quyên,Cổ phần,1.000-4.999
Marketing & Sales Executive,['Bình Dương'],07/12/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Biên phiên dịch",Nhân viên chính thức,15 Tr - 25 Tr VND,1 - 2 Năm,Nhân viên,23/12/2024,CÔNG TY TNHH TECHNO COATINGS INDUSTRY,"Số 12 VSIP II-A, Đường Hòa Bình, Khu Công Nghiệp Việt Nam, Phường Vĩnh Tân, Thị Xã Tân Uyên, Tỉnh Bình Dương",HR. Dept,Trách nhiệm hữu hạn,
Giám sát kinh doanh tỉnh Điện Biên,['Điện Biên'],07/12/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,15 Tr - 35 Tr VND,1 - 5 Năm,Nhân viên,31/12/2024,CÔNG TY CỔ PHẦN LIÊN DOANH GALATEX VIỆT NAM,"Tổ 2 phố Đức Diễn, Phường Phúc Diễn, Quận Bắc Từ Liêm, Thành phố Hà Nội, Việt Nam",Anh Hân,Cổ phần,10-20
NHÂN VIÊN TRUYỀN THÔNG NỘI BỘ,['Hà Nội'],07/12/2024,"Quảng cáo / Đối ngoại / Truyền Thông , Tổ chức sự kiện",Nhân viên chính thức,10 Tr - 12 Tr VND,1 - 2 Năm,Nhân viên,20/12/2024,CÔNG TY CỔ PHẦN GIÁO DỤC GERMAN LINK,"59 Láng Hạ, Ba Đình, Hà Nội",Phòng Nhân sự,Cổ phần,25-99
