Tên công việc,Địa điểm,Tên công ty,Địa chỉ công ty,Người liên hệ,Qui mô công ty,Loại hình hoạt động,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp
"[G7] _ [BSV] _ Nhân viên văn phòng Nhà mạng Viettel_Tân Bình, Quận 3_Giờ hành chính",['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,10/12/2024,"Bán hàng / Kinh doanh , Ngành khác , Tư vấn",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,20/12/2024
[G6] _ [BSV] _ Quận 3_ Nhân Viên Tư Vấn Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,10/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,31/12/2024
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,10/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,31/12/2024
[G6] _ [BSV] _[Tân Bình]_Nhân viên chăm sóc khách hàng Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,10/12/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,31/12/2024
[G6] _ [BSV] _[Tân Bình]_Nhân viên chăm sóc khách hàng Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,10/12/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,31/12/2024
[G5] [BSV] _ Nhân Viên Văn Phòng - Tư Vấn Viên Dịch Vụ Viettel ( Giờ Hành Chính ),['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,10/12/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,04/01/2025
[G5] [BSV] Tổng Đài Viên Hỗ Trợ Khách Hàng Line 198 - Đối tác Viettel (Xoay Ca),['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,10/12/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,03/01/2025
[H4] TỔNG ĐÀI CHĂM SÓC KHÁCH HÀNG TOSHIBA - LÀM VIỆC GIỜ HÀNH CHÍNH,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,10/12/2024,Dịch vụ khách hàng,Nhân viên chính thức,6 Tr - 7 Tr VND,Chưa có kinh nghiệm,Nhân viên,01/01/2025
Trưởng Nhóm Telesales (Telesales Team Leader),"['Hà Nội', 'Hồ Chí Minh']",CÔNG TY CỔ PHẦN PHƯƠNG TIỆN ĐIỆN THÔNG MINH SELEX,"Số 12, Ngõ 36 Xuân Thuỷ, Cầu Giấy, Hà Nội/ Số 37A-37B, phường 4, quận 5, Thành phố Hồ Chí Minh",HR Dept,100-499,Cổ phần,10/12/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",Nhân viên chính thức,13 Tr - 15 Tr VND,1 - 3 Năm,Nhân viên,31/12/2024
Sales Team Leader,"['Hà Nội', 'Hồ Chí Minh']",CÔNG TY CỔ PHẦN PHƯƠNG TIỆN ĐIỆN THÔNG MINH SELEX,"Số 12, Ngõ 36 Xuân Thuỷ, Cầu Giấy, Hà Nội/ Số 37A-37B, phường 4, quận 5, Thành phố Hồ Chí Minh",HR Dept,100-499,Cổ phần,06/12/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",Nhân viên chính thức,13 Tr - 15 Tr VND,1 - 3 Năm,Nhân viên,31/12/2024
Nhân viên phụ bếp,['Hồ Chí Minh'],CÔNG TY TNHH QUỐC TẾ ANH DUY,170 Ung Văn Khiêm - Phường 25 - Quận Bình Thạnh - TP Hồ Chí Minh,Nguyễn Thị Tường Vi,100-150,Trách nhiệm hữu hạn,06/12/2024,"Nhà hàng / Khách sạn , Du lịch",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,31/01/2025
E-commerce Analytics & Tag Management Specialist,['Hồ Chí Minh'],VIETNAM CONCENTRIX SERVICES COMPANY LIMITED,"06th FL, QTSC 9 Building, Quang Trung Software City, Tan Chanh Hiep Ward, Dist 12",Phòng Nhân Sự,500-999,Trách nhiệm hữu hạn,06/12/2024,Ngành khác,Nhân viên chính thức,Cạnh tranh,5 - 15 Năm,Nhân viên,15/12/2024
"[G7] _ [BSV] _ Nhân viên văn phòng Nhà mạng Viettel_Tân Bình, Quận 3_Giờ hành chính",['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,06/12/2024,"Bán hàng / Kinh doanh , Ngành khác , Tư vấn",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,20/12/2024
[G6] _ [BSV] _ Quận 3_ Nhân Viên Tư Vấn Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,06/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,30/11/2024
[G6] _ [BSV] _Nhân viên trực tổng đài Viettel_Line 198,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,06/12/2024,"Bưu chính viễn thông , Dịch vụ khách hàng , Tư vấn",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,30/11/2024
Information Security Analyst,['Hồ Chí Minh'],EUROFINS VIETNAM,"Lot E2b-3, D6 Street, Saigon Hitech Park, Thu Duc, HCMC/ No. 1/4 Tan Thoi Nhat 18 Street, Tan Thoi Nhat Ward, District 12, HCMC",HR Dept,100-499,100% vốn nước ngoài,06/12/2024,"CNTT - Phần mềm , CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,4 - 5 Năm,Nhân viên,31/12/2024
SALES EXECUTIVE,['Hồ Chí Minh'],,,,,,06/12/2024,Bán hàng / Kinh doanh,Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,29/12/2024
Sales Engineer,['Hồ Chí Minh'],,,,,,06/12/2024,Bán hàng / Kinh doanh,Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,29/12/2024
"Chuyên viên/ CVC/ CVCC Khách hàng ưu tiên - Hồ Chí Minh ( Phú Nhuận, Tân Phú)",['Hồ Chí Minh'],NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN ĐÔNG NAM Á (SEABANK),"BRG Tower, 198 Trần Quang Khải, Hoàn Kiếm, Hà Nội",SeABank Careers,5.000-9.999,Cổ phần,06/12/2024,"Bán hàng / Kinh doanh , Ngân hàng",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên,31/12/2024
Trưởng nhóm Kinh doanh/Tuyển sinh - Ưu tiên Nam [Thủ Đức - Dĩ An],"['Bình Dương', 'Hồ Chí Minh']",CÔNG TY CP LIÊN KẾT QUỐC TẾ INTERLINK (TRƯỜNG LIÊN KẾT QUỐC TẾ INSCHOOL & NGOẠI NGỮ QUỐC TẾ INS ENGLISH & CHINESE),"27, đường CMT8, Phường Xuân An, Thị Xã Long Khánh",Nhân sự,500-999,Cổ phần,06/12/2024,"Giáo dục / Đào tạo , Biên phiên dịch , Tư vấn",Nhân viên chính thức,8 Tr - 10 Tr VND,1 - 2 Năm,Trưởng nhóm / Giám sát,28/12/2024
[G2] Nhân viên Cước Wifi mạng Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,09/12/2024,"Hàng không , Khoáng sản , Lâm Nghiệp",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,14/12/2024
Korean Interpreter Assistant Manager,"['Long An', 'Hồ Chí Minh']",CÔNG TY TNHH CJ FOODS VIỆT NAM,"2bis-4-6 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh",Phòng Nhân Sự,1.000-4.999,Trách nhiệm hữu hạn,09/12/2024,"Hành chính / Thư ký , Sản xuất / Vận hành sản xuất , Biên phiên dịch",Nhân viên chính thức,Cạnh tranh,5 - 10 Năm,Trưởng nhóm / Giám sát,22/12/2024
[G5] [BSV] Tổng Đài Viên Hỗ Trợ Khách Hàng Viettel Line 198 (Xoay Ca),['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,09/12/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,02/01/2025
Chuyên gia/CVCC Quản lý Phân khúc Khách hàng Thượng lưu - HN/HCM - TA050,"['Hà Nội', 'Hồ Chí Minh']",NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,10.000-19.999,Cổ phần,09/12/2024,"Bán hàng / Kinh doanh , Ngân hàng",Nhân viên chính thức,Cạnh tranh,3 - 6 Năm,Nhân viên,31/12/2024
Chuyên Viên Telesales,['Hồ Chí Minh'],CÔNG TY TNHH MUN HEAN VIỆT NAM,"68 Nguyễn Quý Đức, Khu Phố 5, P. An Phú, TP. Thủ Đức, TP.HCM",Mr. Long,,Trách nhiệm hữu hạn,09/12/2024,"Bán hàng / Kinh doanh , Tiếp thị / Marketing , Tiếp thị trực tuyến",Nhân viên chính thức,Cạnh tranh,Lên đến 1 Năm,Nhân viên,31/12/2024
THU NGÂN SPA - XOAY CA 6.5 TIẾNG/CA (7 triệu - 10 triệu),['Hồ Chí Minh'],CÔNG TY TNHH THIÊN THỦY MỘC,"Tòa nhà VMT, ngõ 82 Duy Tân, Cầu Giấy, Hà Nội",Công ty TNHH TM Thiên Thủy Mộc,100-499,Cổ phần,05/12/2024,"Tư vấn , Dịch vụ khách hàng , Kế toán / Kiểm toán",Nhân viên chính thức,7 Tr - 10 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024
[G5] [BSV] Nhân Viên Trực Tổng Đài Viettel Line 198 - Không Yêu Cầu Kinh Nghiệm (Xoay Ca),['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,05/12/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,29/12/2024
Chuyên Viên/ Chuyên Viên Chính/ Chuyên Viên Cao Cấp Khách Hàng Doanh Nghiệp Vừa Và Nhỏ - Hồ Chí Minh - TA141,['Hồ Chí Minh'],NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,10.000-19.999,Cổ phần,05/12/2024,"Bán hàng / Kinh doanh , Bảo hiểm , Ngân hàng",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Trưởng nhóm / Giám sát,08/01/2025
Nhân Viên Kinh Doanh,['Hồ Chí Minh'],CÔNG TY TNHH PHÁT TRIỂN CÔNG NGHỆ MIỀN NAM,"15 – 17 Đường 1D, KDC Trung Sơn, Xã Bình Hưng, Huyện Bình Chánh, TP.HCM",Ms. Tiên,25-99,Trách nhiệm hữu hạn,05/12/2024,"Bán hàng / Kinh doanh , CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,28/12/2024
[G6] _ [BSV] _[Tân Bình]_Nhân viên chăm sóc khách hàng Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,05/12/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,30/11/2024
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,05/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,30/11/2024
[G6] _ [BSV] _ Quận 3_ Nhân Viên Tư Vấn Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,05/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,30/11/2024
Nhân viên Cơ điện,['Hồ Chí Minh'],CÔNG TY CỔ PHẦN BCG ENERGY,"27C Quốc Hương, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",Hr,100-499,Cổ phần,05/12/2024,Điện / Điện tử / Điện lạnh,Nhân viên chính thức,8 Tr - 10 Tr VND,2 - 5 Năm,Nhân viên,29/12/2024
"[G7] _ [BSV] _ Nhân viên văn phòng Nhà mạng Viettel_Tân Bình, Quận 3_Giờ hành chính",['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,05/12/2024,"Bán hàng / Kinh doanh , Ngành khác , Tư vấn",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,18/12/2024
"Nhân Viên Bán Hàng Qua Điện Thoại Hãng Bia Nổi Tiếng (Làm Việc Giờ Hành Chính, Off Chiều T7, Chủ Nhật)",['Hồ Chí Minh'],,,,,,05/12/2024,"Bán hàng / Kinh doanh , Tư vấn , Dịch vụ khách hàng",Nhân viên chính thức,8 Tr - 11 Tr VND,Lên đến 1 Năm,Nhân viên,31/12/2024
Nhân viên Sales Online,"['Hà Nội', 'Hồ Chí Minh']",CÔNG TY CỔ PHẦN PHƯƠNG TIỆN ĐIỆN THÔNG MINH SELEX,"Số 12, Ngõ 36 Xuân Thuỷ, Cầu Giấy, Hà Nội/ Số 37A-37B, phường 4, quận 5, Thành phố Hồ Chí Minh",HR Dept,100-499,Cổ phần,05/12/2024,"Bán hàng / Kinh doanh , Tư vấn , Dịch vụ khách hàng",Nhân viên chính thức,9 Tr - 12 Tr VND,2 - 5 Năm,Nhân viên,31/12/2024
Chuyên viên Telesales,"['Hà Nội', 'Hồ Chí Minh']",CÔNG TY CỔ PHẦN PHƯƠNG TIỆN ĐIỆN THÔNG MINH SELEX,"Số 12, Ngõ 36 Xuân Thuỷ, Cầu Giấy, Hà Nội/ Số 37A-37B, phường 4, quận 5, Thành phố Hồ Chí Minh",HR Dept,100-499,Cổ phần,05/12/2024,"Bán hàng / Kinh doanh , Tư vấn , Dịch vụ khách hàng",Nhân viên chính thức,9 Tr - 12 Tr VND,2 - 5 Năm,Nhân viên,31/12/2024
Nhân Viên Tư Vấn Làm Việc Tại Văn Phòng Tân Bình - Nhận Việc Ngay,['Hồ Chí Minh'],,,,,,05/12/2024,"Tiếp thị trực tuyến , Tư vấn , Dịch vụ khách hàng",Nhân viên chính thức,"8 Tr - 11,6 Tr VND",Lên đến 1 Năm,Nhân viên,31/12/2024
"Nhân Viên Tư Vấn (Có Sẵn Data & Máy Tính, Làm Giờ Hành Chính, Đi Làm Ngay) - Làm Việc Tại Tân Bình",['Hồ Chí Minh'],,,,,,05/12/2024,"Bán hàng / Kinh doanh , Tiếp thị trực tuyến , Tư vấn",Nhân viên chính thức,"8 Tr - 11,6 Tr VND",Lên đến 1 Năm,Nhân viên,31/12/2024
Medical Affairs Specialist (Chinese),['Hồ Chí Minh'],ORIOLED HUB,"Số 72 Bình Giã, Phường 13, Quận Tân Bình, Thành phố Hồ Chí Minh",Tuyển Dụng,25-99,Trách nhiệm hữu hạn,05/12/2024,"Dược phẩm , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,Cạnh tranh,Trên 3 Năm,Nhân viên,02/01/2025
Nhân Viên Kinh Doanh - Quận Tân Bình - Nhận Việc Ngay,['Hồ Chí Minh'],,,,,,05/12/2024,"Bán hàng / Kinh doanh , Tư vấn , Dịch vụ khách hàng",Nhân viên chính thức,8 Tr - 12 Tr VND,Lên đến 1 Năm,Nhân viên,31/12/2024
Nhân Viên Tư Vấn Chốt Đơn Và Chăm Sóc Khách Hàng Dự Án Bia (Lương Cứng + Thưởng Kpi),['Hồ Chí Minh'],,,,,,05/12/2024,"Tiếp thị trực tuyến , Dịch vụ khách hàng , Tài chính / Đầu tư",Nhân viên chính thức,8 Tr - 12 Tr VND,Lên đến 1 Năm,Nhân viên,31/12/2024
Nhân Viên Chăm Sóc Khách Hàng Line Tiếng Anh - Đi Làm Ngay,['Hồ Chí Minh'],,,,,,05/12/2024,"Tư vấn , Dịch vụ khách hàng , Du lịch",Nhân viên chính thức,10 Tr - 13 Tr VND,Lên đến 1 Năm,Nhân viên,31/12/2024
"Nhân Viên Chăm Sóc Khách Hàng - Dự Án Du Lịch - Line Tiếng Anh (Thu Nhập Lên Đến 13 Triệu, Không Sale)",['Hồ Chí Minh'],,,,,,05/12/2024,"Dịch vụ khách hàng , Nhà hàng / Khách sạn , Du lịch",Nhân viên chính thức,10 Tr - 13 Tr VND,Lên đến 1 Năm,Nhân viên,31/12/2024
Trưởng Nhóm Kinh Doanh (Telesales Team Leader),['Hồ Chí Minh'],,,,,,05/12/2024,"Tiếp thị trực tuyến , Tư vấn , Dịch vụ khách hàng",Nhân viên chính thức,12 Tr - 15 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024
Telesales Team Leader,['Hồ Chí Minh'],,,,,,05/12/2024,"Bán lẻ / Bán sỉ , Tư vấn , Dịch vụ khách hàng",Nhân viên chính thức,12 Tr - 15 Tr VND,1 - 2 Năm,Trưởng nhóm / Giám sát,31/12/2024
"[G7] _ [BSV] _ Nhân viên văn phòng Nhà mạng Viettel_Tân Bình, Quận 3_Giờ hành chính",['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,06/12/2024,"Bán hàng / Kinh doanh , Ngành khác , Tư vấn",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,20/12/2024
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,06/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,30/11/2024
[G6] _ [BSV] _ Quận 3_ Nhân Viên Tư Vấn Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,06/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,30/11/2024
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,06/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,30/11/2024
Nhân viên bán hàng,['Hồ Chí Minh'],TẬP ĐOÀN KIM TÍN,"69 Nguyễn Thi, Phường 13, Quận 5, HCM",KIM TIN GROUP,1.000-4.999,Cổ phần,10/12/2024,"Bán hàng / Kinh doanh , Nội ngoại thất , Đồ gỗ",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,31/12/2024
Nhân Viên Chăm Sóc Khách Hàng - Ứng Dụng Vé Máy Bay (Tiếng Nhật),['Hồ Chí Minh'],VIETNAM CONCENTRIX SERVICES COMPANY LIMITED,"06th FL, QTSC 9 Building, Quang Trung Software City, Tan Chanh Hiep Ward, Dist 12",Phòng Nhân Sự,500-999,Trách nhiệm hữu hạn,10/12/2024,"Tư vấn , Dịch vụ khách hàng , Biên phiên dịch",Nhân viên chính thức,22 Tr - 30 Tr VND,,Nhân viên,18/12/2024
"[G7] _ [BSV] _ Nhân viên văn phòng Nhà mạng Viettel_Tân Bình, Quận 3_Giờ hành chính",['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,04/12/2024,"Bán hàng / Kinh doanh , Ngành khác , Tư vấn",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,12/12/2024
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,04/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,30/11/2024
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,04/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,30/11/2024
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,04/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,30/11/2024
2D Artist,['Hồ Chí Minh'],CÔNG TY TNHH PHẦN MỀM TIẾP THỊ VIDEO QUỐC TẾ,"68/16 Trần Quang Khải, Phường Tân Định, Quận 1",HOÀNG TÚ LINH,25-99,Trách nhiệm hữu hạn,04/12/2024,Mỹ thuật / Nghệ thuật / Thiết kế,Nhân viên chính thức,10 Tr - 12 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024
Nhân viên kinh doanh ngành Thiết bị thẩm mỹ,['Hồ Chí Minh'],CÔNG TY TRÁCH NHIỆM HỮU HẠN AGTV VIỆT NAM,"40 đường N1, Bình Trưng Tây, TP Thủ Đức, TP HCM",Minh Khuê,25-99,Trách nhiệm hữu hạn,04/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,"7,8 Tr - 20 Tr VND",Trên 1 Năm,Nhân viên,31/12/2024
"[G7] _ [BSV] _ Nhân viên văn phòng Nhà mạng Viettel_Tân Bình, Quận 3_Giờ hành chính",['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,04/12/2024,"Bán hàng / Kinh doanh , Ngành khác , Tư vấn",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,19/12/2024
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,04/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,30/11/2024
